,SGC ID for Component,Comp Acc Mass,mz,SMILES,IA,IA_Peak1,IA_Peak2,IA_Rs,IA_ΔRT,IA_Mean RT,k1,k2,IA_α,IB,IB_Peak1,IB_Peak2,IB_Rs,IB_ΔRT,IB_Mean RT,k1,k2,IB_α,IC,IC_Peak1,IC_Peak2,IC_Rs,IC_ΔRT,IC_Mean RT,k1,k2,IC_α,IG,IG_Peak1,IG_Peak2,IG_Rs,IG_ΔRT,IG_Mean RT,k1,k2,IG_α
5070,XS842578b,347.0594214,348.0667064,COC(=O)C=1C=C(CN2CCC(C2)S(C)(=O)=O)C(Cl)=CC1O,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
5071,XS722648b,344.1848406,345.1921256,COCCN1C=C(C=N1)NC(=O)N2CCCC2C=3C=CC(=CC3)OC,GREEN,10.323,11.399,2.152,1.076,10.861,19.646,21.798,1.109538837,GREEN,9.974,10.237,0.526,0.263,10.1055,18.948,19.474,1.027760186,GREEN,14.135,16.613,4.956,2.478,15.374,27.27,33.226,1.218408508,GREEN,14.742,20.996,12.508,6.254,17.869,28.484,40.992,1.439123719
5072,XS845487a,347.1919002,348.1991852,O=C(N1CCC(C1)C2CCOCC2)C3(CCCCC3)C4=CC=CS4,RED,,,,,,,,,check,,,,,,,,,GREEN,22.654,23.64,1.972,0.986,23.147,44.308,47.28,1.067075923,GREEN,22.064,23.713,3.298,1.649,22.8885,43.128,46.426,1.076470043
5073,XS536763b,345.1964886,346.2037736,CCN1CCN(CC1)C=2C=CC(F)=CC2C(C)NC(=O)C=3C=CNN3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
5074,XS845486a,347.1191292,348.1264142,CCOC=1C=CC=CC1C(=O)NC(C)C=2C=CC(=CC2)S(C)(=O)=O,GREEN,11.553,12.286,1.466,0.733,11.9195,22.106,23.572,1.066316837,GREEN,12.311,12.721,0.82,0.41,12.516,23.622,24.442,1.034713403,single,,,,,,,,,GREEN,18.046,21.253,6.414,3.207,19.6495,35.092,41.506,1.182776701
5075,XS806965b,347.166748,348.174033,CC=1C=C(C)C=C(C1)N(C)CC=2C=NN(C2)C3(C)CCS(=O)(=O)C3,check,,,,,,,,,RED,,,,,,,,,GREEN,10.443,10.657,0.428,0.214,10.55,19.886,21.314,1.071809313,GREEN,11.624,15.758,8.268,4.134,13.691,22.248,30.516,1.37162891
5076,XS839960b,348.0473399,349.0546249,O=C(NC=1C=CC(Br)=C2C=CC=CC12)N3CCC(CO)C3,single,,,,,,,,,GREEN,11.399,11.642,0.486,0.243,11.5205,21.798,22.284,1.022295623,GREEN,11.943,12.166,0.446,0.223,12.0545,22.886,24.332,1.063182732,GREEN,11.347,11.557,0.42,0.21,11.452,21.694,22.114,1.019360192
5077,XS839982b,348.1256115,349.1328965,CC(C(=O)N(C)C)S(=O)(=O)NC=1C=CC=NC1NC=2C=CC=CC2,GREEN,8.663,9.207,1.088,0.544,8.935,16.326,17.414,1.066642166,single,,,,,,,,,single,,,,,,,,,GREEN,10.036,10.926,1.78,0.89,10.481,19.072,20.852,1.093330537
5078,XS845493a,346.1641052,347.1713902,CCCOC1CCCN(C1)C(=O)C=2C=NC3=C(C2)C(=O)NC(=O)N3C,single,,,,,,,,,GREEN,14.866,15.654,1.576,0.788,15.26,28.732,30.308,1.054851733,single,,,,,,,,,RED,,,,,,,,
5079,XS845489a,346.1448057,347.1520907,CCCNC=1C=CC(=CC1)CNC(=O)C(C)OC=2C=CC(Cl)=CC2,GREEN,10.111,10.41,0.598,0.299,10.2605,19.222,19.82,1.031110186,GREEN,10.807,11.016,0.418,0.209,10.9115,20.614,21.032,1.020277481,single,,,,,,,,,GREEN,13.299,14.797,2.996,1.498,14.048,25.598,28.594,1.117040394
5080,XS845491a,348.0966199,349.1039049,CC1=CC=C(CNC(=O)C2CCCN(C2)C(=O)C3=CC=CS3)S1,GREEN,11.592,12.074,0.964,0.482,11.833,22.184,23.148,1.043454742,GREEN,11.765,12.001,0.472,0.236,11.883,22.53,23.002,1.020949845,GREEN,15.308,15.939,1.262,0.631,15.6235,29.616,31.878,1.076377634,GREEN,16.039,17.925,3.772,1.886,16.982,31.078,34.85,1.121372032
5081,XS482672b,345.094726,346.102011,CC(NC=1N=CN=C2C(F)=CC=CC12)C=3C=CC(=CC3)S(C)(=O)=O,single,,,,,,,,,single,,,,,,,,,GREEN,11.652,12.243,1.182,0.591,11.9475,22.304,24.486,1.097829986,GREEN,9.336,9.768,0.864,0.432,9.552,17.672,18.536,1.048890901
5082,XS839630b,349.1174893,350.1247743,CC1(CC=2C=CC=CC2C(=O)O1)C(=O)NC=3C=CC=C(C3)N4C=NN=N4,single,,,,,,,,,GREEN,12.693,13.186,0.986,0.493,12.9395,24.386,25.372,1.040433035,GREEN,15.725,16.832,2.214,1.107,16.2785,30.45,33.664,1.105550082,GREEN,17.681,19.342,3.322,1.661,18.5115,34.362,37.684,1.096676561
5083,XS744764b,345.1244046,346.1316896,O=C(C1=CC(=NO1)C=2C=CC=C(Cl)C2)N3CCC(C3)N4CCCC4,check,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,,check,,,,,,,,
5084,XS837629b,348.1586259,349.1659109,NC=1C=CC2=C(C1)CCC2NC(=O)CCC3=NC=4C=CC=CC4C(=O)N3,single,,,,,,,,,single,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,
5085,XS845492a,345.2416272,346.2489122,CC(=O)N1CCN(CC(=O)NC(C)C=2C=CC(=CC2)CC(C)C)CC1,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,10.14,10.707,1.134,0.567,10.4235,19.28,20.414,1.058817427
5086,XS842543b,347.1303625,348.1376475,O=C(NC=1C=CC=C(C1)S(=O)(=O)NC=2CCCN2)C3CC=CCC3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,10.707,11.051,0.688,0.344,10.879,20.414,21.102,1.033702361
5087,XS764792b,344.2324595,345.2397445,CCN1C=NC=2C(=NC=NC21)N3CCCC(CNC(=O)C(C)(C)C)C3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,13.064,13.367,0.606,0.303,13.2155,25.128,25.734,1.024116523
5088,XS665729b,346.1196535,347.1269385,CC1=CN(N=C1C(=O)NC2CCCCNC2=O)C=3C=CC=CC3Cl,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
5089,XS845495a,346.1892573,347.1965423,CC(=O)N1CCCC(C1)C(=O)NCC(C)(C)C=2C=CC=3OCOC3C2,single,,,,,,,,,GREEN,10.135,10.412,0.554,0.277,10.2735,19.27,19.824,1.028749351,GREEN,14.619,15.501,1.764,0.882,15.06,28.238,31.002,1.097882286,GREEN,15.533,18.342,5.618,2.809,16.9375,30.066,35.684,1.186855584
5090,XS556036b,351.194677,352.201962,O=C(CN1CCCCCCC1=O)NC(C=2C=CC=CC2)C=3C=CC=CN3,single,,,,,,,,,single,,,,,,,,,GREEN,14.551,15.899,2.696,1.348,15.225,28.102,31.798,1.131520888,GREEN,16.941,22.486,11.09,5.545,19.7135,32.882,43.972,1.33726659
5091,XS783341b,354.1691906,355.1764756,CC1=NOC(CC2(O)CCCN(C2)C(=O)CC3=CNC=4C=CC=CC34)=N1,single,,,,,,,,,check,,,,,,,,,single,,,,,,,,,GREEN,13.204,14.055,1.702,0.851,13.6295,25.408,27.11,1.066986776
5092,XS841209b,355.2259772,356.2332622,CNC(=O)C=1C=CC=C(C1)NC(C)C(=O)NC23CC4CC(CC(C4)C3)C2,GREEN,10.967,11.333,0.732,0.366,11.15,20.934,21.666,1.034967039,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
5093,XS787633b,352.1423071,353.1495921,CCOC=1C=CC=2OC(C(=O)NC(C(N)=O)C=3C=CC=CC3)=C(C)C2C1,GREEN,13.779,14.692,1.826,0.913,14.2355,26.558,28.384,1.068755177,single,,,,,,,,,GREEN,15.308,15.958,1.3,0.65,15.633,29.616,31.916,1.077660724,GREEN,18.222,18.647,0.85,0.425,18.4345,35.444,36.294,1.023981492
5094,XS845500a,354.1249428,355.1322278,CC(OC(=O)C=1C=CC(=CC1)CCNS(C)(=O)=O)C(=O)NC2CC2,GREEN,8.663,9.14,0.954,0.477,8.9015,16.326,17.28,1.058434399,GREEN,8.002,8.499,0.994,0.497,8.2505,15.004,15.998,1.066249,GREEN,11.363,11.652,0.578,0.289,11.5075,21.726,23.304,1.07263187,GREEN,10.764,11.934,2.34,1.17,11.349,20.528,22.868,1.113990647
5095,XS845506a,349.1801698,350.1874548,COC=1C=CC(=CC1F)CCC(=O)N2CCCC(C2)N3CCNC3=O,single,,,,,,,,,GREEN,10.743,11.136,0.786,0.393,10.9395,20.486,21.272,1.038367666,GREEN,20.935,22.365,2.86,1.43,21.65,40.87,44.73,1.094445804,GREEN,17.45,22.12,9.34,4.67,19.785,33.9,43.24,1.275516224
5096,EL002605c,350.1378904,351.1451754,CC1=CNC(=O)N1C=2C=CC=C(C2)C(=O)NC3COCC=4C=CC=NC43,single,,,,,,,,,single,,,,,,,,,GREEN,12.262,14.202,3.88,1.94,13.232,23.524,28.404,1.207447713,GREEN,9.882,11.3,2.836,1.418,10.591,18.764,21.6,1.151140482
5097,XS845496a,355.1354479,356.1427329,COC=1C=CC(=CC1)C2=CC=3N=C(CN4CCC(C)C4)NC(=O)C3S2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
5098,XS845504a,350.1742759,351.1815609,O=C(NCCC1CCCO1)C=2C=NC3=C(C=NN3CC=4C=CC=CC4)C2,GREEN,16.687,17.892,2.41,1.205,17.2895,32.374,34.784,1.074442454,GREEN,13.775,14.213,0.876,0.438,13.994,26.55,27.426,1.03299435,GREEN,18.259,18.475,0.432,0.216,18.367,35.518,36.95,1.040317585,GREEN,11.06,16.683,11.246,5.623,13.8715,21.12,32.366,1.532481061
5099,XS823608b,351.0711334,352.0784184,O=C(NC=1C=CC=CN1)C2CCCN(C2)S(=O)(=O)C3=CC=CS3,single,,,,,,,,,GREEN,11.86,12.414,1.108,0.554,12.137,22.72,23.828,1.048767606,single,,,,,,,,,check,,,,,,,,
5100,XS840511b,353.1375561,354.1448411,C=CCN1C=C(C(=O)OC(C)C(=O)NC2=CC(C)=NO2)C=3C=CC=CC31,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,15.202,17.868,5.332,2.666,16.535,29.404,34.736,1.181335873
5101,XS845505a,356.1670824,357.1743674,CCN(CC)C(CNC(=O)NCC=1C=CC=C(C#N)C1)C=2C=CSC2,GREEN,3.533,4.299,1.532,0.766,3.916,6.066,7.598,1.252555226,single,,,,,,,,,single,,,,,,,,,GREEN,6.091,25.735,39.288,19.644,15.913,11.182,50.47,4.513503845
5102,XS845501a,353.0933083,354.1005933,O=C(OC1CCOC1=O)C2CCN(CC2)S(=O)(=O)C=3C=CC=CC3,RED,,,,,,,,,RED,,,,,,,,,GREEN,16.832,17.357,1.05,0.525,17.0945,32.664,34.714,1.062760225,RED,,,,,,,,
5103,XS845507a,349.1601834,350.1674684,CCC1=NOC(C)=C1C(=O)NCC2CCN(C2)C=3C=CC(F)=C(F)C3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,14.236,15.259,2.046,1.023,14.7475,27.472,29.518,1.07447583
5104,XS845503a,349.2001563,350.2074413,CCOC=1C=C2CC(C)OC2=CC1CNC(=O)NCCCNC(C)=O,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,11.156,11.424,0.536,0.268,11.29,21.312,21.848,1.02515015
5105,XS790505b,352.1820638,353.1893488,CCCC(NC(=O)C1CCN(CC1)S(=O)(=O)CC)C=2C=CC=CC2,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,13.777,14.648,1.742,0.871,14.2125,26.554,28.296,1.065602169
5106,XS845498a,355.1808385,356.1881235,O=C1C(CCCN1C=2C=CC=CC2F)N3CCN(CC3)C=4C=CC=NN4,RED,,,,,,,,,single,,,,,,,,,GREEN,9.074,9.914,1.68,0.84,9.494,17.148,19.828,1.156286447,GREEN,16.067,16.31,0.486,0.243,16.1885,31.134,31.62,1.015609944
5107,XS845502a,356.126024,357.133309,CN1C=C(N=C1C2CCCN(C2)C(=O)C=3C=CC(F)=CN3)C(F)(F)F,single,,,,,,,,,single,,,,,,,,,check,,,,,,,,,RED,,,,,,,,
5108,XS845497a,354.0485843,355.0558693,CC(OC(=O)C=1C(F)=CC=CC1F)C(=O)NC=2SC=CC2C(N)=O,check,,,,,,,,,single,,,,,,,,,GREEN,11.391,11.71,0.638,0.319,11.5505,21.782,23.42,1.075199706,GREEN,11.424,13.309,3.77,1.885,12.3665,21.848,25.618,1.17255584
5109,XS845499a,351.1331394,352.1404244,O=C(NC(CO)CC1=CNC=2C=CC=CC12)C3=CC=CN4C(=O)NN=C34,RED,,,,,,,,,GREEN,11.136,12.207,2.142,1.071,11.6715,21.272,23.414,1.10069575,single,,,,,,,,,RED,,,,,,,,
5110,XS759445b,353.1739416,354.1812266,CCC1CN(CC(=O)NC=2C=CC(=CC2)NC(C)=O)C=3C=CC=CC3O1,single,,,,,,,,,GREEN,12.357,12.693,0.672,0.336,12.525,23.714,24.386,1.028337691,single,,,,,,,,,GREEN,13.367,13.921,1.108,0.554,13.644,25.734,26.842,1.043055879
5111,XS841712b,355.0836024,356.0908874,O=C(NC=1C=CC=2NN=NC2C1)C3CCN(C3=O)C=4C=CC=C(Cl)C4,check,,,,,,,,,GREEN,11.992,13.317,2.65,1.325,12.6545,22.984,25.634,1.115297598,single,,,,,,,,,single,,,,,,,,
5112,XS560491b,356.2324595,357.2397445,CCN1CCN(CC1)C2CCN(C2)C(=O)C=3C=C(C)N=C4C3C=NN4C,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
5113,XS841517b,350.1001457,351.1074307,N#CC=1C=NC=CC1NC2CCCC=3SC(=NC32)C=4C=CC(F)=CC4,single,,,,,,,,,GREEN,9.974,10.209,0.47,0.235,10.0915,18.948,19.418,1.024804729,GREEN,13.931,14.135,0.408,0.204,14.033,26.862,28.27,1.052416052,GREEN,12.798,13.509,1.422,0.711,13.1535,24.596,26.018,1.057814279
5114,XS838183b,352.103477,353.110762,O=C(O)C(CC(F)F)NC(=O)C=1C=C(N=C2C=CC(F)=CC12)C3CC3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,GREEN,8.173,8.518,0.69,0.345,8.3455,15.346,16.036,1.044962857
5115,XS836548b,354.2055761,355.2128611,O=C(NC1CN(CC2(CC2)C1)C(=O)C=3C=NN(C3)C4CC4)C56CC(C5)C6,single,,,,,,,,,single,,,,,,,,,GREEN,16.924,18.7,3.552,1.776,17.812,32.848,37.4,1.138577691,GREEN,11.711,13.064,2.706,1.353,12.3875,22.422,25.128,1.120685041
5116,XS841810b,364.1535405,365.1608255,O=C(NC=1C=CC=2C(=O)N(CC3CC3)C(=O)C2C1)C4CCCC5=CC=NN54,GREEN,17.387,21.087,7.4,3.7,19.237,33.774,41.174,1.219103452,GREEN,14.06,15.512,2.904,1.452,14.786,27.12,30.024,1.107079646,GREEN,18.582,25.679,14.194,7.097,22.1305,36.164,51.358,1.420141577,single,,,,,,,,
5117,XS845512a,359.1400546,360.1473396,O=C(C1=NOC=2CCCCCC12)N3CCC(C3)NC=4C=CC=C(Cl)C4,GREEN,18.088,20,3.824,1.912,19.044,35.176,39,1.108710484,single,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,
5118,XS841811b,358.2004907,359.2077757,CC(C)C=1C=CC(=CC1)OCC(=O)NC=2C=NN(C2)C3CNCCOC3,GREEN,6.681,7.55,1.738,0.869,7.1155,12.362,14.1,1.140592137,single,,,,,,,,,single,,,,,,,,,GREEN,8.173,9.47,2.594,1.297,8.8215,15.346,17.94,1.169034276
5119,XS845517a,359.2208918,360.2281768,CCOC(=O)C1=C(C)N(CC)C(=O)NC1C=2C=CC(=CC2)N(CC)CC,single,,,,,,,,,GREEN,6.831,8.192,2.722,1.361,7.5115,12.662,15.384,1.214973938,GREEN,9.756,10.927,2.342,1.171,10.3415,18.512,21.854,1.180531547,single,,,,,,,,
5120,XS845519a,357.1688562,358.1761412,COC=1C=CC(=CC1)C2CCCCCN2C(=O)C(=O)NC=3C=C(C)ON3,RED,,,,,,,,,check,,,,,,,,,GREEN,18.129,21.329,6.4,3.2,19.729,35.258,42.658,1.209881445,RED,,,,,,,,
5121,XS529408b,363.1695249,364.1768099,COC=1C=CC(=CC1)NC(=O)N2CCCC2C3=NC(=NN3)C=4C=CC=CC4,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,RED,,,,,,,,
5122,XS838138b,366.1071846,367.1144696,COC=1C=CC=CC1N2CCC(C2)NS(=O)(=O)C3=CC(C)=C(C)S3,GREEN,13.306,15.315,4.018,2.009,14.3105,25.612,29.63,1.156879588,single,,,,,,,,,GREEN,15.443,15.656,0.426,0.213,15.5495,29.886,31.312,1.047714649,GREEN,18.704,24.292,11.176,5.588,21.498,36.408,47.584,1.306965502
5123,XS738604b,362.2317908,363.2390758,COC=1C=CC=C(C1)N2CCN(CC2)C(C)C(=O)NC(=O)NCC(C)C,GREEN,16.569,22.521,11.904,5.952,19.545,32.138,44.042,1.370402639,GREEN,12.568,12.93,0.724,0.362,12.749,24.136,24.86,1.029996685,single,,,,,,,,,single,,,,,,,,
5124,XS845509a,363.1306948,364.1379798,O=C(C1=CN=C2C=CC=CN12)N3CCCC(C3)N4C=CC(=N4)C(F)(F)F,GREEN,13.509,14.623,2.228,1.114,14.066,26.018,28.246,1.085633023,single,,,,,,,,,single,,,,,,,,,GREEN,19.266,19.735,0.938,0.469,19.5005,37.532,38.47,1.024992007
5125,XS838490b,360.2313969,361.2386819,CN1N=C(CN2CCC3(CCN(CC=4C=CC=CC4)C3)C2)C=5C=CC=CC51,single,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,,single,,,,,,,,
5126,XS845508a,361.179027,362.186312,O=C(C1=CN(CC=2C=CC=CC2)N=C1C=3C=CC=CC3)N4CCC(CO)C4,single,,,,,,,,,GREEN,11.165,11.399,0.468,0.234,11.282,21.33,21.798,1.021940928,GREEN,16.731,17.23,0.998,0.499,16.9805,32.462,34.46,1.061548888,single,,,,,,,,
5127,XS845518a,360.1507636,361.1580486,CC(C)(C)C(NC(=O)NC=1C=CC=2OCCCOC2C1)C3=CC=CS3,GREEN,11.949,12.536,1.174,0.587,12.2425,22.898,24.072,1.051270853,GREEN,12.001,13.374,2.746,1.373,12.6875,23.002,25.748,1.119380923,GREEN,12.455,12.843,0.776,0.388,12.649,23.91,25.686,1.074278545,GREEN,13.395,15.259,3.728,1.864,14.327,25.79,29.518,1.144552152
5128,XS839665b,365.1236373,366.1309223,NC(=O)C1=CNC=2N=CN=C(NC=3C=CC(=CC3)C4CC(=O)NC(=O)N4)C12,RED,,,,,,,,,RED,,,,,,,,,single,,,,,,,,,GREEN,20.183,23.538,6.71,3.355,21.8605,39.366,46.076,1.170451659
5129,XS845516a,364.2011594,365.2084444,CCC(C(=O)N1CCN(CC1)C2=CC(C)=NC3=NC=NN23)C=4C=CC=CC4,GREEN,12.67,14.04,2.74,1.37,13.355,24.34,27.08,1.112571898,single,,,,,,,,,GREEN,23.57,23.814,0.488,0.244,23.692,46.14,47.628,1.032249675,GREEN,18.837,27.566,17.458,8.729,23.2015,36.674,54.132,1.476032066
5130,XS845511a,358.1441187,359.1514037,O=C(NC1CCC(=O)NC21CCC2)C3=NN(C=C3O)C=4C=CC=CC4F,single,,,,,,,,,single,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,
5131,XS572730b,362.1100417,363.1173267,CC=1N=C(CC=2C=CC(F)=CC2)SC1C(=O)N3CCCC(C3)C(=O)O,single,,,,,,,,,single,,,,,,,,,check,,,,,,,,,GREEN,13.147,14.064,1.834,0.917,13.6055,25.294,27.128,1.072507314
5132,XS436764b,366.1613283,367.1686133,CC(=O)NC=1C=CC(C)=C(C1)S(=O)(=O)N2CCOCC(C2)C3CCC3,GREEN,11.361,11.66,0.598,0.299,11.5105,21.722,22.32,1.027529693,single,,,,,,,,,single,,,,,,,,,GREEN,14.618,18.203,7.17,3.585,16.4105,28.236,35.406,1.253931152
5133,XS135747c,360.1143781,361.1216631,CC1CCC=2SC(=CC2C1)C(=O)OCC(=O)NC(=O)C3=CC=CN3C,single,,,,,,,,,single,,,,,,,,,GREEN,23.284,24.75,2.932,1.466,24.017,45.568,49.5,1.086288624,GREEN,23.722,24.674,1.904,0.952,24.198,46.444,48.348,1.040995608
5134,XS427802b,365.1914835,366.1987685,CC1CCN(CC1)C(=O)C2CCCN(C2)C(=O)NC=3C=CC(F)=CC3F,GREEN,11.457,12.026,1.138,0.569,11.7415,21.914,23.052,1.051930273,GREEN,10.743,12.693,3.9,1.95,11.718,20.486,24.386,1.190373914,GREEN,15.133,18.787,7.308,3.654,16.96,29.266,37.574,1.283878904,GREEN,17.849,19.419,3.14,1.57,18.634,34.698,37.838,1.090495129
5135,XS845520a,359.093977,360.101262,CC1=CSC(=O)N1CCC(=O)OC(C)C(=O)NC=2C=CC=C(C#N)C2,GREEN,11.457,12.277,1.64,0.82,11.867,21.914,23.554,1.074838003,check,,,,,,,,,GREEN,13.253,13.456,0.406,0.203,13.3545,25.506,26.912,1.055124284,GREEN,14.843,24.799,19.912,9.956,19.821,28.686,48.598,1.694136513
5136,XS845513a,357.1244046,358.1316896,O=C(NCC=1C=CC=CN1)C2CCCN(C2)C(=O)C=3C=CC(Cl)=CC3,GREEN,9.391,9.881,0.98,0.49,9.636,17.782,18.762,1.055111911,single,,,,,,,,,GREEN,13.989,15.511,3.044,1.522,14.75,26.978,31.022,1.149899918,GREEN,15.533,18.203,5.34,2.67,16.868,30.066,35.406,1.17760926
5137,XS839175b,365.1663314,366.1736164,O=C(O)CN1N=C(C=C1C2=CN(CCC3CCCC3(F)F)N=N2)C4CC4,GREEN,13.056,14.128,2.144,1.072,13.592,25.112,27.256,1.085377509,single,,,,,,,,,GREEN,10.976,11.255,0.558,0.279,11.1155,20.952,22.51,1.074360443,GREEN,13.027,16.683,7.312,3.656,14.855,25.054,32.366,1.291849605
5138,XS845515a,362.1509537,363.1582387,CC(NC=1C=CC(=C(Cl)C1)N2CCCC2=O)C3=NC(=NO3)C(C)(C)C,single,,,,,,,,,GREEN,12.038,12.414,0.752,0.376,12.226,23.076,23.828,1.03258797,single,,,,,,,,,single,,,,,,,,
5139,XS840231b,361.1242316,362.1315166,CCNS(=O)(=O)C1CCN(C1)C(=O)NC2=NC(=NS2)C(C)(C)C,GREEN,10.035,10.304,0.538,0.269,10.1695,19.07,19.608,1.028211851,GREEN,9.463,9.704,0.482,0.241,9.5835,17.926,18.408,1.026888319,single,,,,,,,,,GREEN,11.711,14.476,5.53,2.765,13.0935,22.422,27.952,1.246632771
5140,XS845510a,364.0915345,365.0988195,CCOC(=O)C1CCCN(C1)C(=O)C=2SC(=NC2C)C3=CC=CS3,single,,,,,,,,,single,,,,,,,,,GREEN,20.935,21.267,0.664,0.332,21.101,40.87,42.534,1.04071446,GREEN,23.115,26.713,7.196,3.598,24.914,45.23,52.426,1.159097944
5141,XS845514a,357.2416272,358.2489122,CC=1C=CC=C(C1)N2CCN(CC2)C(=O)C3CCCN(C3)C(=O)C(C)C,GREEN,12.584,13.509,1.85,0.925,13.0465,24.168,26.018,1.076547501,GREEN,14.003,14.26,0.514,0.257,14.1315,27.006,27.52,1.019032808,GREEN,22.566,24.153,3.174,1.587,23.3595,44.132,48.306,1.094579897,GREEN,18.999,23.824,9.65,4.825,21.4115,36.998,46.648,1.260824909
5142,XS845529a,373.0366397,374.0439247,O=C(NC1=NC=CS1)C2CCCN2S(=O)(=O)C=3C=CC(F)=C(F)C3,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
5143,XS837790b,371.0506682,372.0579532,CC(NC(=O)NC=1C=C(F)C=C(C1)S(N)(=O)=O)C=2C=CC(Cl)=CC2,GREEN,9.958,10.323,0.73,0.365,10.1405,18.916,19.646,1.038591668,single,,,,,,,,,single,,,,,,,,,GREEN,10.121,12.826,5.41,2.705,11.4735,19.242,24.652,1.281155805
5144,XS393820b,374.1509537,375.1582387,O=C(COC=1C=CC=C(Cl)C1)N2CCCC2C3=NN=C4CCCCCN34,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,RED,,,,,,,,
5145,XS845530a,373.1347792,374.1420642,COC1=CC(=CC(OC)=C1OC)CC(=O)NC2CCSC=3C=CC=CC32,GREEN,11.457,11.949,0.984,0.492,11.703,21.914,22.898,1.044902802,GREEN,12.883,13.269,0.772,0.386,13.076,24.766,25.538,1.031171768,single,,,,,,,,,single,,,,,,,,
5146,XS153922b,369.2052417,370.2125267,COC=1C=CC(=CN1)CNC(=O)C(C)NC(=O)C=2C=CC(=CC2)C(C)(C)C,GREEN,13.683,17.249,7.132,3.566,15.466,26.366,33.498,1.270499886,single,,,,,,,,,GREEN,14.299,14.493,0.388,0.194,14.396,27.598,28.986,1.0502935,single,,,,,,,,
5147,XS845533a,372.1143781,373.1216631,CC(C)C(NS(=O)(=O)C=1C=CC(C#N)=CC1)C=2C=CC=3OCCOC3C2,RED,,,,,,,,,single,,,,,,,,,RED,,,,,,,,,single,,,,,,,,
5148,XS704248b,367.1929628,368.2002478,CC(C)CNC(=O)C(C)N1CCC(CC1)NS(=O)(=O)C=2C=CC=CC2,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
5149,XS837441b,367.1102958,368.1175808,CC=1C=CC(=CC1)C=2CC(ON2)C(=O)NC3=NC(=CS3)C4=NC=CN4C,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,,RED,,,,,,,,
5150,XS845526a,369.1601031,370.1673881,COCCN1N=CC=C1C(=O)N2CCC=3NC=NC3C2C=4C=CC(F)=CC4,RED,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
5151,XS839098b,375.1958199,376.2031049,CCOC=1C=C(C=CN1)C(=O)N2CC(CC2(C)C)NC(=O)C34CC(F)(C3)C4,single,,,,,,,,,GREEN,9.537,9.75,0.426,0.213,9.6435,18.074,18.5,1.023569769,GREEN,12.862,15.191,4.658,2.329,14.0265,24.724,30.382,1.228846465,GREEN,10.275,13.223,5.896,2.948,11.749,19.55,25.446,1.301585678
5152,XS845523a,370.1805042,371.1877892,CC=1C=CC(=CC1F)C(=O)N2CCN(CC2)C(=O)C3CCC=4C=NNC4C3,GREEN,11.13,15.315,8.37,4.185,13.2225,21.26,29.63,1.393697084,GREEN,11.136,12.001,1.73,0.865,11.5685,21.272,23.002,1.081327567,GREEN,21.206,21.684,0.956,0.478,21.445,41.412,43.368,1.047232686,check,,,,,,,,
5153,XS845532a,371.2208918,372.2281768,CCN(C)CC=1C=CC=C(C1)CNC(=O)C(NC(=O)C2=CC=CO2)C(C)C,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,,single,,,,,,,,
5154,XS410909b,369.1158553,370.1231403,O=C(NC=1C=CC(F)=CC1)N2CCN(CC2)C(=O)C3CCS(=O)(=O)C3,single,,,,,,,,,GREEN,9.491,9.833,0.684,0.342,9.662,17.982,18.666,1.038038038,GREEN,11.227,11.904,1.354,0.677,11.5655,21.454,23.808,1.109723129,RED,,,,,,,,
5155,XS408617b,367.1532062,368.1604912,COC1=CC(=CC(=C1)C(=O)NCC(C)C2=NC(=NO2)C=3C=CC=CC3)OC,GREEN,15.941,21.294,10.706,5.353,18.6175,30.882,41.588,1.346674438,single,,,,,,,,,GREEN,15.443,16.016,1.146,0.573,15.7295,29.886,32.032,1.071806197,single,,,,,,,,
